"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R7","RC0603","112.6497mm","87.025mm","112.65mm","87.025mm","111.875mm","87.025mm","T","0.00","36k"
"R6","RC0603","112.6747mm","84.025mm","112.675mm","84.025mm","111.9mm","84.025mm","T","0.00","2k"
"R5","RC0603","112.6747mm","81.025mm","112.675mm","81.025mm","111.9mm","81.025mm","T","360.00","100k"
"R4","RC0603","112.6497mm","85.525mm","112.65mm","85.525mm","111.875mm","85.525mm","T","0.00","10k"
"R3","RC0603","112.6747mm","82.525mm","112.675mm","82.525mm","111.9mm","82.525mm","T","0.00","100k"
"R2","RC0603","112.6747mm","79.525mm","112.675mm","79.525mm","111.9mm","79.525mm","T","360.00","100k"
"R1","RC0603","113.3747mm","90.275mm","113.375mm","90.275mm","112.6mm","90.275mm","T","0.00","51k"
"QR2","MS3V-T1R","126.825mm","70.35mm","129.6mm","69.9mm","129.6mm","69.9mm","T","180.00","MS3V-T1R"
"QR1","AC5032_2","128.625mm","65.6mm","128.625mm","65.6mm","128.625mm","67.6mm","T","270.00","NX5032GA-12.000MHz LN-CD-1"
"L2","SDR0805","103.4mm","68.4mm","103.4mm","68.4mm","103.4mm","65.733mm","T","90.00","15uH"
"L1","L0603","127.2997mm","74.1mm","126.525mm","74.1mm","126.525mm","74.1mm","T","0.00","10uH"
"J1","PLS-02","157.405mm","66.775mm","158.675mm","66.775mm","158.675mm","66.775mm","T","180.00","PLS-02"
"FU9","RC1210","133.475mm","113.675mm","133.475mm","113.675mm","135.075mm","113.675mm","T","180.00","MICROSMD010F-2"
"FU8","RC1210","133.475mm","110.5mm","133.475mm","110.5mm","135.075mm","110.5mm","T","180.00","MICROSMD010F-2"
"FU7","FSMD2920","149.15mm","48.8mm","149.15mm","48.8mm","145.75mm","48.8mm","T","360.00","SL110-33"
"FU5","RC1210","129.625mm","48.6mm","129.625mm","48.6mm","129.625mm","47mm","T","90.00","MICROSMD010F-2"
"FU4","RC1210","134.525mm","48.6mm","134.525mm","48.6mm","134.525mm","47mm","T","90.00","MICROSMD010F-2"
"FU3","RC1210","139.65mm","48.6mm","139.65mm","48.6mm","139.65mm","47mm","T","90.00","MICROSMD010F-2"
"FU2","RC1210","114.6mm","48.5mm","114.6mm","48.5mm","114.6mm","50.1mm","T","270.00","MICROSMD010F-2"
"FU1","RC1210","109.625mm","48.5mm","109.625mm","48.5mm","109.625mm","50.1mm","T","270.00","MICROSMD010F-2"
"DD5","SO-8","133.369mm","105.695mm","130.575mm","107.6mm","130.575mm","107.6mm","T","270.00","SP485EEN"
"DD4","EIAJ_SO8","121.705mm","90.9965mm","119.8mm","87.25mm","119.8mm","87.25mm","T","90.00","M25PE16"
"DD3","EIAJ_SO8","128.405mm","94.9215mm","126.5mm","91.175mm","126.5mm","91.175mm","T","90.00","M25PE16"
"DD2","TQFP-80_0.5","138.8mm","71.85mm","138.8mm","71.85mm","132.1mm","76.6mm","T","360.00","LPC1754FBD80"
"DD1","SO-8","121.631mm","49.48mm","124.425mm","47.575mm","124.425mm","47.575mm","T","90.00","SN65HVD234D"
"DA3","SOT23-5","122.9mm","106.325mm","122.9mm","106.325mm","121.65mm","107.275mm","T","0.00","AP2210K-ADJTRG1"
"DA2","S-PDSO-G10","108.975mm","61.775mm","107.975mm","59.575mm","107.975mm","59.575mm","T","90.00","TPS54260DGQ"
"DA1","P-PQFP-N20","105.95mm","84.825mm","105.95mm","84.825mm","103.75mm","84.075mm","T","0.00","BQ24070"
"C35","CC0603","135.65mm","101.675mm","135.65mm","101.675mm","136.5mm","101.675mm","T","180.00",""
"C34","CC0603","123mm","103.45mm","123mm","103.45mm","122.15mm","103.45mm","T","360.00","0.1uF"
"C33","CC0805","121.025mm","109.1mm","121.025mm","109.1mm","121.925mm","109.1mm","T","180.00","10uF 6.3V"
"C32","CC0805","124.55mm","109.1mm","124.55mm","109.1mm","123.65mm","109.1mm","T","360.00","10uFx6.3V"
"C31","CC0603","127.225mm","109.95mm","127.225mm","109.95mm","127.225mm","109.1mm","T","90.00","0.1uF"
"C30","CC0603","112.525mm","71.3mm","112.525mm","71.3mm","112.525mm","70.45mm","T","90.00","560pF"
"C29","CC0603","112.525mm","63.575mm","112.525mm","63.575mm","112.525mm","64.425mm","T","270.00","330pF"
"C28","CC0603","111.125mm","56.075mm","111.125mm","56.075mm","110.275mm","56.075mm","T","360.00","10 nF"
"C27","CC0603","107mm","47.9mm","107mm","47.9mm","107mm","48.75mm","T","270.00","0.1 uF"
"C26","CC16X10_CAP0.5(1)(Primary)","102.585mm","54.5mm","105.125mm","54.5mm","100.045mm","54.5mm","T","180.00","470uFx35V"
"C25","CC8X3.5","101.675mm","78.425mm","103.425mm","78.425mm","103.425mm","78.425mm","T","180.00","1000uFx6.3V"
"C24","CC0603","108.425mm","73.075mm","108.425mm","73.075mm","107.575mm","73.075mm","T","360.00","0.1 uF"
"C23","CC0603","106.25mm","60.65mm","106.25mm","60.65mm","106.25mm","61.5mm","T","270.00","0.1 uF"
"C22","CC0603","131.95mm","91.475mm","131.95mm","91.475mm","131.95mm","90.625mm","T","90.00","0.1uF"
"C21","CC0603","123.725mm","84.875mm","123.725mm","84.875mm","122.875mm","84.875mm","T","360.00","0.1uF"
"C20","CC0603","127.225mm","72.325mm","127.225mm","72.325mm","126.375mm","72.325mm","T","360.00","0.1uF"
"C19","CC0603","125.675mm","75.825mm","125.675mm","75.825mm","124.825mm","75.825mm","T","360.00","0.1uF"
"C17","CC0805","140mm","86.975mm","140mm","86.975mm","140mm","87.875mm","T","270.00","10uFx6.3V"
"C16","CC0603","149.475mm","76.65mm","149.475mm","76.65mm","149.475mm","77.5mm","T","270.00","0.1uF"
"C15","CC0603","149.15mm","65.875mm","149.15mm","65.875mm","149.15mm","65.025mm","T","90.00","0.1uF"
"C14","CC0603","140.55mm","61.225mm","140.55mm","61.225mm","140.55mm","60.375mm","T","90.00","0.1uF"
"C13","CC0603","131.8mm","61.625mm","131.8mm","61.625mm","130.95mm","61.625mm","T","360.00","0.1uF"
"C12","CC0603","156.375mm","64.45mm","156.375mm","64.45mm","157.225mm","64.45mm","T","180.00","220pF"
"C11","CC0603","159.225mm","72.525mm","159.225mm","72.525mm","160.075mm","72.525mm","T","180.00",""
"C10","CC0603","125.85mm","63.95mm","125.85mm","63.95mm","125.85mm","64.8mm","T","270.00","22pF"
"C9","CC0603","125.85mm","67.55mm","125.85mm","67.55mm","125.85mm","66.7mm","T","90.00","22pF"
"C8","CC0603","123.85mm","100.675mm","123.85mm","100.675mm","123.85mm","101.525mm","T","270.00","0.1uF"
"C7","CC0603","114.9mm","56.3mm","114.9mm","56.3mm","114.9mm","55.45mm","T","90.00","0.1uF"
"C6","CC0603","126.725mm","49.275mm","126.725mm","49.275mm","126.725mm","50.125mm","T","270.00","0.1uF"
"C5","CC0603","112.725mm","88.625mm","112.725mm","88.625mm","111.875mm","88.625mm","T","360.00","10nF"
"C3","CC0603","102.95mm","88.775mm","102.95mm","88.775mm","102.1mm","88.775mm","T","0.00","1uF"
"C2","CC0603","107.875mm","78.275mm","107.875mm","78.275mm","108.725mm","78.275mm","T","180.00","1uF"
"C1","CC0603","100.3mm","84.075mm","100.3mm","84.075mm","101.15mm","84.075mm","T","180.00","0.1uF"
"R36","RC0805","146.275mm","56.275mm","146.275mm","56.275mm","145.325mm","56.275mm","T","360.00","n.p"
"VD26","SMA","109.6mm","75.575mm","109.6mm","75.575mm","107.55mm","75.575mm","T","360.00","GS1M"
"C36","CC0603","127.625mm","80.625mm","127.625mm","80.625mm","128.475mm","80.625mm","T","180.00","0.1uF"
"C37","CC0603","134.55mm","90.625mm","134.55mm","90.625mm","133.7mm","90.625mm","T","360.00","0.1uF"
"C38","CC0603","138.75mm","90.275mm","138.75mm","90.275mm","139.6mm","90.275mm","T","180.00","0.1uF"
"C39","CC0603","131.65mm","79.95mm","131.65mm","79.95mm","132.5mm","79.95mm","T","180.00","0.1uF"
"DD6","SO16_M","133.47mm","85.494mm","129.025mm","82.7mm","129.025mm","82.7mm","T","90.00","ST232BD/CD"
"C18","CC0603","141.55mm","82.6mm","141.55mm","82.6mm","142.4mm","82.6mm","T","180.00","0.1uF"
"FU6","RC1210","114.225mm","93.125mm","114.225mm","93.125mm","115.825mm","93.125mm","T","180.00","MICROSMD010F-2"

